#Daten zur Versuchsreihe violett Licht ca. 435nm
#
# U[V]  I[nA]
#1.175   0
1.15    0.001
1.1     0.08
1.05    0.1
1       0.2
0.95    0.4
0.901   0.55
0.85    0.8
0.800   1.2
0.749   1.6
0.7     2.2
0.6     3.6
0.502   5.4
0.399   7.4
0.300   9.6
0.201   12
0.100   14
0.002   17.4
